ID,log(g),e_,[Fe/H],e_,Teff [K],e_,E(B-V),Plx [mas],e_,mBT [mag],e_,mVT [mag],e_,mG [mag],e_,mBP [mag],e_,mRP [mag],e_,mJ [mag],e_,mH [mag],e_,mK [mag],e_,BC_BT [mag],e_,BC_VT [mag],e_,BC_G [mag],e_,BC_BP [mag],e_,BC_RP [mag],e_,BC_J [mag],e_,BC_H [mag],e_,BC_K [mag],e_,R_star_old [solar ray],e_,R_exo_old [solar ray],e_
WASP-072,3.99,0.11,-0.06,0.09,6250,100,0,2.389,0.0252,11.657,0.066,10.942,0.057,10.847,0.002767,11.108,0.002836,10.402,0.003794,9.964,0.024,9.724,0.024,9.617,0.021,-0.606,0.038,-0.065,0.013,0.094,0.007,-0.159,0.015,0.496,0.015,0.942,0.033,1.152,0.047,1.225,0.048,1.98,0.24,1.27,0.2
WASP-073,3.93,0.06,0.14,0.14,6030,120,0,3.15,0.0139,11.09,0.049,10.528,0.043,10.264,0.002762,10.556,0.002817,9.809,0.003787,9.352,0.024,9.073,0.022,9.028,0.021,-0.718,0.054,-0.074,0.019,0.104,0.011,-0.184,0.021,0.544,0.016,1.029,0.036,1.263,0.053,1.345,0.056,2.07,0.19,1.16,0.12
WASP-074,4.141,0.012,0.34,0.02,5984,57,0,6.69,0.0149,10.533,0.042,9.823,0.033,9.578,0.002762,9.911,0.002821,9.077,0.003791,8.548,0.037,8.286,0.018,8.221,0.023,-0.769,0.028,-0.069,0.008,0.115,0.003,-0.188,0.010,0.567,0.007,1.056,0.018,1.288,0.026,1.375,0.028,1.536,0.026,1.404,0.022
WASP-075,4.294,0.008,0.07,0.09,6100,100,0,3.339,0.0202,13.503,0.407,12.064,0.212,11.331,0.002777,11.63,0.002938,10.871,0.003811,10.362,0.024,10.097,0.022,10.062,0.025,-0.69,0.045,-0.075,0.014,0.099,0.007,-0.179,0.017,0.528,0.015,1.001,0.033,1.23,0.048,1.308,0.051,1.27,0.02,1.31,0.02
WASP-076,4.196,0.106,0.366,0.053,6329,65,0,5.29,0.0826,10.265,0.04,9.588,0.031,9.415,0.002976,9.664,0.00287,8.97,0.003811,8.541,0.024,8.331,0.038,8.243,0.031,-0.61,0.029,-0.024,0.009,0.126,0.005,-0.128,0.010,0.525,0.011,0.941,0.023,1.123,0.032,1.201,0.033,1.765,0.071,1.854,0.077
WASP-077,4.33,0.08,0.07,0.03,5605,41,0,9.463,0.0183,11.259,0.074,10.381,0.051,10.096,0.002855,10.454,0.003157,9.568,0.004133,8.766,0.02,8.374,0.04,8.405,0.031,-0.957,0.025,-0.155,0.009,0.073,0.004,-0.281,0.010,0.583,0.004,1.167,0.013,1.478,0.021,1.571,0.022,0.955,0.015,1.21,0.02
WASP-078,3.84,0.024,-0.35,0.14,6100,150,0,1.385,0.0136,12.813,0.211,12.043,0.15,12.177,0.002769,12.438,0.002841,11.759,0.003796,11.286,0.027,11.084,0.027,11.008,0.023,-0.647,0.067,-0.101,0.018,0.073,0.010,-0.193,0.023,0.494,0.026,0.978,0.055,1.221,0.077,1.294,0.081,2.35,0.1,2.06,0.1
WASP-079,4.226,0.01,0.03,0.1,6600,100,0,4.071,0.0149,10.528,0.029,10.092,0.027,9.978,0.00276,10.183,0.00281,9.626,0.003783,9.299,0.022,9.123,0.023,9.056,0.023,-0.495,0.034,-0.033,0.012,0.097,0.008,-0.117,0.013,0.45,0.019,0.827,0.037,0.989,0.051,1.056,0.053,1.51,0.04,1.53,0.04
WASP-080,4.668,0.008,-0.14,0.16,4145,100,0,20.114,0.0207,13.764,0.517,11.815,0.203,11.269,0.002789,12.145,0.002899,10.351,0.003809,9.218,0.023,8.513,0.026,8.351,0.022,-2.429,0.153,-1.026,0.121,-0.35,0.059,-1.108,0.119,0.479,0.024,1.585,0.032,2.266,0.038,2.436,0.051,0.593,0.012,0.986,0.022
WASP-081,4.258,0.027,-0.36,0.14,5890,120,0,2.484,0.0152,13.133,0.365,12.072,0.216,12.325,0.002773,12.659,0.002934,11.82,0.003795,11.263,0.027,10.913,0.024,10.892,0.026,-0.753,0.053,-0.132,0.017,0.065,0.010,-0.232,0.020,0.52,0.017,1.049,0.037,1.328,0.052,1.404,0.056,1.283,0.04,1.429,0.051
WASP-082,3.958,0.026,0.12,0.11,6500,80,0,3.63,0.019,10.566,0.039,10.122,0.035,9.904,0.002766,10.161,0.002817,9.485,0.003787,9.046,0.024,8.868,0.025,8.759,0.023,-0.518,0.029,-0.026,0.013,0.11,0.010,-0.116,0.012,0.475,0.017,0.867,0.028,1.035,0.038,1.107,0.040,2.219,0.097,1.712,0.088
WASP-083,4.44,0.04,0.29,0.12,5480,110,0,3.72,0.0168,12.745,0.299,12.859,0.355,11.999,0.002764,12.395,0.002812,11.442,0.003802,10.804,0.02,10.471,0.026,10.393,0.023,-1.076,0.084,-0.177,0.032,0.072,0.016,-0.313,0.035,0.608,0.011,1.22,0.037,1.543,0.059,1.647,0.064,1.05,0.06,1.04,0.08
WASP-084,4.598,0.012,0.09,0.12,5280,80,0,9.964,0.0149,11.839,0.103,10.916,0.08,10.579,0.002818,11.003,0.003432,9.99,0.004023,9.346,0.026,8.956,0.024,8.855,0.023,-1.192,0.067,-0.244,0.027,0.036,0.013,-0.38,0.029,0.603,0.008,1.275,0.027,1.651,0.043,1.757,0.047,0.768,0.019,0.976,0.025
WASP-085,4.519,0.007,0.08,0.1,5685,65,0,7.115,0.0305,11.591,0.091,10.8,0.076,11.572,0.00309,11.871,0.033334,10.868,0.016001,9.275,0.033,8.925,0.036,8.733,0.026,-0.914,0.040,-0.139,0.014,0.08,0.008,-0.262,0.016,0.577,0.010,1.142,0.022,1.439,0.032,1.529,0.035,0.935,0.023,1.24,0.03
WASP-086-KELT-12,3.934,0.05,0.19,0.085,6279,51,0,2.72,0.0118,11.328,0.055,10.655,0.045,10.486,0.002761,10.749,0.002829,10.066,0.003795,9.631,0.022,9.385,0.02,9.362,0.017,-0.607,0.021,-0.04,0.009,0.114,0.007,-0.141,0.008,0.515,0.010,0.947,0.017,1.142,0.023,1.219,0.024,2.02,0.12,1.382,0.089
WASP-087,4.096,0.023,-0.41,0.1,6450,120,0,3.323,0.0194,11.505,0.057,10.8,0.05,10.711,0.002759,10.97,0.002808,10.288,0.003785,9.832,0.026,9.593,0.027,9.552,0.025,-0.532,0.035,-0.08,0.011,0.066,0.007,-0.158,0.013,0.436,0.020,0.854,0.039,1.05,0.055,1.115,0.056,1.627,0.062,1.385,0.06
WASP-088,3.976,0.051,0.03,0.04,6450,61,0,1.784,0.0185,12.16,0.171,11.46,0.125,11.473,0.002789,11.734,0.002866,11.055,0.003789,10.568,0.022,10.386,0.024,10.322,0.019,-0.533,0.024,-0.039,0.007,0.102,0.003,-0.128,0.009,0.474,0.011,0.879,0.023,1.057,0.032,1.128,0.033,1.93,0.12,1.63,0.12
WASP-089,4.515,0.018,0.15,0.14,4955,100,0,3.48,0.0242,9.683,0.029,9.574,0.031,12.981,0.002804,13.461,0.003233,12.337,0.003995,11.546,0.024,11.094,0.021,11.004,0.021,-1.478,0.101,-0.38,0.054,-0.027,0.026,-0.515,0.051,0.602,0.009,1.376,0.031,1.828,0.058,1.952,0.063,0.88,0.03,1.04,0.04
WASP-090,4.033,0.029,0.11,0.14,6440,130,0,2.087,0.0334,13.339,0.306,11.6,0.107,11.454,0.002791,11.736,0.002857,11.012,0.003802,10.55,0.024,10.302,0.022,10.248,0.023,-0.542,0.054,-0.033,0.018,0.108,0.011,-0.125,0.020,0.483,0.024,0.887,0.049,1.064,0.069,1.136,0.071,1.98,0.09,1.63,0.09
WASP-091,4.49,0.03,0.19,0.13,4920,80,0,6.615,0.0115,12.911,0.216,12.065,0.148,11.618,0.00276,12.096,0.002869,10.986,0.003803,10.275,0.026,9.838,0.022,9.712,0.023,-1.52,0.076,-0.399,0.043,-0.035,0.021,-0.534,0.039,0.603,0.009,1.388,0.022,1.847,0.043,1.974,0.046,0.86,0.03,1.03,0.04
WASP-092,4.259,0.031,0.0,0.14,6280,120,0,1.704,0.0107,11.258,0.051,9.558,0.02,12.811,0.002777,13.1,0.002962,12.359,0.003907,11.834,0.019,11.579,0.018,11.519,0.018,-0.608,0.046,-0.062,0.019,0.096,0.012,-0.156,0.019,0.497,0.020,0.935,0.039,1.142,0.056,1.213,0.058,1.341,0.058,1.461,0.077
WASP-093,4.197,0.019,0.07,0.17,6700,100,0,2.688,0.0217,11.704,0.062,11.036,0.056,10.984,0.002762,11.21,0.002807,10.592,0.003788,10.233,0.022,9.997,0.021,9.942,0.016,-0.464,0.034,-0.022,0.018,0.1,0.015,-0.103,0.016,0.437,0.025,0.796,0.041,0.943,0.055,1.009,0.057,1.524,0.04,1.54,0.06
WASP-094,4.181,0.017,0.26,0.15,6170,80,0,4.75,0.0242,10.899,0.059,10.129,0.043,10.033,0.002775,10.315,0.002825,9.592,0.003794,9.159,0.027,8.916,0.022,8.874,0.024,-0.67,0.036,-0.05,0.013,0.115,0.010,-0.158,0.012,0.536,0.017,0.988,0.026,1.198,0.035,1.277,0.037,1.62,0.05,1.72,0.06
WASP-095,4.38,0.04,0.14,0.16,5830,140,0,7.238,0.0157,10.936,0.04,10.17,0.029,9.94,0.002765,10.272,0.002846,9.443,0.003805,8.936,0.029,8.628,0.024,8.564,0.025,-0.834,0.075,-0.109,0.025,0.093,0.012,-0.227,0.029,0.567,0.019,1.096,0.046,1.365,0.067,1.452,0.071,1.13,0.08,1.21,0.06
WASP-096,4.42,0.02,0.14,0.19,5500,150,0,2.859,0.0154,12.335,0.138,11.457,0.081,12.372,0.002768,12.736,0.002859,11.849,0.003808,11.267,0.025,10.936,0.023,10.914,0.024,-1.038,0.107,-0.177,0.043,0.067,0.021,-0.309,0.046,0.596,0.016,1.206,0.050,1.533,0.081,1.632,0.087,1.05,0.05,1.2,0.06
WASP-097,4.43,0.03,0.23,0.11,5670,110,0,6.633,0.0123,11.486,0.058,10.654,0.044,10.426,0.002759,10.775,0.002811,9.914,0.003785,9.407,0.023,9.07,0.022,9.03,0.029,-0.94,0.066,-0.134,0.022,0.087,0.009,-0.262,0.026,0.59,0.012,1.155,0.035,1.446,0.052,1.541,0.057,1.06,0.04,1.13,0.06
WASP-098,4.606,0.013,-0.49,0.1,5473,121,0,3.572,0.0119,11.272,0.057,9.313,0.018,12.858,0.002768,13.221,0.002853,12.325,0.003824,11.691,0.027,11.295,0.021,11.284,0.023,-0.975,0.071,-0.212,0.028,0.034,0.012,-0.326,0.032,0.555,0.009,1.185,0.039,1.543,0.062,1.631,0.066,0.741,0.021,1.144,0.034
WASP-099,4.12,0.04,0.21,0.15,6150,100,0,6.244,0.0112,10.217,0.028,9.545,0.021,9.332,0.002758,9.62,0.002808,8.879,0.003792,8.436,0.023,8.129,0.033,8.088,0.024,-0.672,0.046,-0.056,0.018,0.112,0.012,-0.162,0.018,0.534,0.018,0.992,0.034,1.206,0.048,1.285,0.050,1.76,0.11,1.1,0.08
WASP-100,4.16,0.08,0.0,0.08,6940,120,0,2.808,0.0129,11.125,0.054,10.832,0.061,10.616,0.002764,10.828,0.002813,10.262,0.003788,9.928,0.027,9.715,0.022,9.669,0.024,-0.398,0.030,-0.015,0.011,0.089,0.008,-0.088,0.012,0.391,0.021,0.711,0.040,0.83,0.054,0.893,0.055,1.67,0.18,1.4,0.3
WASP-101,4.345,0.019,0.2,0.12,6380,120,0,5.007,0.0128,10.87,0.035,10.389,0.031,1.012,0.002762,10.39,0.002801,9.738,0.003784,9.334,0.024,9.124,0.022,9.075,0.025,-0.583,0.052,-0.036,0.016,0.112,0.011,-0.132,0.018,0.501,0.023,0.913,0.044,1.098,0.060,1.171,0.063,1.29,0.04,1.41,0.05
WASP-102,4.257,0.006,0.09,0.19,5940,140,0,1.956,0.015,10.237,0.03,9.764,0.026,12.553,0.002765,12.898,0.002883,12.046,0.003815,11.494,0.021,11.221,0.021,11.106,0.017,-0.767,0.072,-0.094,0.022,0.095,0.013,-0.206,0.026,0.55,0.024,1.056,0.049,1.309,0.068,1.391,0.073,1.331,0.013,1.259,0.016
WASP-103,4.219,0.016,0.06,0.13,6110,160,0,1.833,0.1073,10.164,0.029,8.812,0.015,12.192,0.002811,12.508,0.002945,11.689,0.003811,11.1,0.026,10.857,0.032,10.767,0.02,-0.682,0.065,-0.074,0.021,0.099,0.010,-0.177,0.025,0.526,0.021,0.997,0.049,1.225,0.071,1.302,0.074,1.413,0.048,1.646,0.06
WASP-104,4.5032,0.005,0.41,0.057,5348,32,0,5.364,0.0186,11.773,0.091,11.184,0.095,11.586,0.002786,12.008,0.00341,11.008,0.00382,10.36,0.024,9.979,0.026,9.882,0.019,-1.197,0.026,-0.214,0.010,0.059,0.005,-0.356,0.010,0.623,0.005,1.269,0.010,1.611,0.016,1.725,0.017,0.935,0.01,1.093,0.012
WASP-105,4.48,0.02,0.28,0.16,5070,130,0,4.603,0.0893,12.5,0.186,11.834,0.144,11.859,0.002846,12.294,0.002856,11.212,0.003802,10.456,0.022,10.041,0.025,9.935,0.021,-1.399,0.126,-0.323,0.064,0.003,0.031,-0.463,0.062,0.614,0.010,1.348,0.043,1.762,0.078,1.884,0.084,0.9,0.03,0.96,0.03
WASP-106,4.38,0.94,0.15,0.03,6265,36,0,2.783,0.0181,12.244,0.186,11.303,0.108,11.362,0.002775,11.637,0.002864,10.93,0.003793,10.472,0.024,10.234,0.023,10.161,0.027,-0.627,0.026,-0.052,0.014,0.107,0.008,-0.151,0.011,0.513,0.006,0.949,0.012,1.153,0.017,1.227,0.018,1.42,0.03,1.1,0.02
WASP-107,4.633,0.012,0.02,0.09,4425,70,0,15.528,0.026,15.851,1.199,11.944,0.196,11.183,0.002774,11.902,0.002843,10.361,0.003793,9.378,0.021,8.777,0.026,8.637,0.023,-2.079,0.096,-0.761,0.064,-0.216,0.033,-0.861,0.059,0.536,0.015,1.517,0.018,2.141,0.041,2.289,0.045,0.67,0.02,0.924,0.022
WASP-108,4.336,0.018,0.05,0.11,6000,140,0,3.903,0.0211,11.995,0.108,11.284,0.084,11.108,0.002773,11.405,0.002825,10.644,0.003796,10.12,0.023,9.889,0.023,9.795,0.019,-0.736,0.073,-0.089,0.021,0.095,0.009,-0.197,0.027,0.54,0.022,1.034,0.052,1.28,0.075,1.359,0.080,1.215,0.04,1.284,0.047
WASP-109,4.26,0.018,-0.22,0.08,6520,140,0,2.801,0.0228,11.872,0.129,11.479,0.151,11.338,0.002787,11.593,0.002848,10.924,0.003834,10.473,0.024,10.298,0.024,10.248,0.023,-0.519,0.042,-0.063,0.012,0.077,0.007,-0.142,0.014,0.44,0.023,0.84,0.047,1.022,0.066,1.087,0.068,1.346,0.044,1.443,0.053
WASP-110,4.498,0.022,-0.06,0.1,5400,140,0,3.608,0.015,12.009,0.128,11.503,0.119,12.54,0.002764,12.934,0.002845,11.982,0.003797,11.326,0.029,10.945,0.027,10.871,0.023,-1.078,0.101,-0.211,0.039,0.046,0.017,-0.341,0.043,0.587,0.011,1.228,0.048,1.586,0.077,1.684,0.083,0.881,0.035,1.238,0.056
WASP-111,4.081,0.036,0.08,0.08,6400,150,0,3.468,0.0172,10.784,0.038,10.304,0.035,10.11,0.002761,10.344,0.002818,9.723,0.003804,9.356,0.026,9.163,0.034,9.076,0.027,-0.558,0.054,-0.041,0.015,0.105,0.006,-0.133,0.019,0.486,0.023,0.899,0.050,1.083,0.071,1.155,0.073,1.85,0.1,1.443,0.094
WASP-112,4.342,0.018,-0.64,0.15,5610,130,0,1.862,0.0158,12.6,0.187,11.328,0.079,13.191,0.002765,13.494,0.002953,12.721,0.003823,12.179,0.022,11.86,0.025,11.822,0.023,-0.876,0.069,-0.191,0.025,0.036,0.012,-0.296,0.029,0.532,0.015,1.131,0.043,1.467,0.066,1.549,0.070,1.002,0.037,1.191,0.049
WASP-113,4.2,0.1,0.1,0.09,5890,140,0,2.275,0.0109,12.743,0.216,11.947,0.148,11.6,0.002763,11.906,0.002856,11.132,0.003794,10.636,0.022,10.33,0.026,10.311,0.021,-0.793,0.077,-0.1,0.024,0.094,0.009,-0.215,0.030,0.557,0.018,1.074,0.049,1.334,0.072,1.418,0.077,1.608,0.12,1.47,0.11
WASP-114,4.3,0.1,0.14,0.07,5940,140,0,1.962,0.0149,12.692,0.278,12.401,0.261,12.513,0.002768,12.861,0.002883,12.001,0.003806,11.421,0.023,11.172,0.028,11.074,0.028,-0.773,0.071,-0.091,0.021,0.099,0.008,-0.204,0.026,0.555,0.017,1.059,0.046,1.31,0.067,1.393,0.071,1.43,0.06,1.339,0.064
WASP-117,4.28,0.16,-0.11,0.14,6040,90,0,6.341,0.0129,10.873,0.042,10.208,0.033,10.032,0.00276,10.311,0.002805,9.587,0.003786,9.143,0.022,8.86,0.024,8.78,0.021,-0.703,0.035,-0.095,0.012,0.085,0.010,-0.196,0.012,0.521,0.016,1.011,0.026,1.257,0.034,1.333,0.036,1.17,0.067,1.021,0.076
WASP-118,4.1,0.012,0.16,0.11,6410,125,0,2.585,0.0236,11.755,0.108,11.079,0.107,10.919,0.00277,11.18,0.002834,10.498,0.003806,10.087,0.026,9.847,0.023,9.788,0.021,-0.559,0.050,-0.033,0.016,0.111,0.009,-0.127,0.018,0.492,0.021,0.9,0.044,1.08,0.062,1.153,0.064,1.754,0.016,1.394,0.013
WASP-119,4.26,0.08,0.14,0.1,5650,100,0,3.307,0.0106,12.648,0.21,12.082,0.171,12.095,0.002762,12.481,0.002869,11.542,0.003809,10.924,0.023,10.612,0.024,10.545,0.021,-0.937,0.063,-0.141,0.021,0.081,0.010,-0.268,0.024,0.584,0.012,1.156,0.033,1.455,0.049,1.548,0.053,1.2,0.1,1.4,0.2
WASP-120,4.035,0.049,-0.05,0.07,6450,120,0,2.614,0.015,11.591,0.06,11.021,0.058,10.899,0.002771,11.119,0.00283,10.528,0.003813,10.148,0.024,9.982,0.034,9.877,0.023,-0.533,0.040,-0.047,0.011,0.095,0.006,-0.134,0.014,0.467,0.019,0.874,0.039,1.056,0.055,1.126,0.057,1.87,0.11,1.39,0.08
WASP-121,4.47,0.08,0.13,0.04,6586,59,0,3.8,0.0104,11.093,0.049,10.571,0.045,10.375,0.002767,10.603,0.002808,10.002,0.003793,9.625,0.021,9.439,0.025,9.374,0.022,-0.514,0.017,-0.03,0.005,0.103,0.003,-0.115,0.006,0.462,0.009,0.839,0.017,1.002,0.024,1.068,0.025,1.44,0.03,1.865,0.044
WASP-122,4.166,0.016,0.32,0.09,5720,130,0,4.055,0.0099,11.963,0.092,11.088,0.065,10.84,0.002758,11.181,0.002832,10.334,0.003805,9.808,0.024,9.487,0.024,9.424,0.023,-0.917,0.086,-0.117,0.029,0.097,0.012,-0.247,0.034,0.593,0.015,1.143,0.046,1.419,0.069,1.515,0.074,1.52,0.03,1.743,0.047
WASP-123,4.286,0.032,0.18,0.08,5740,130,0,5.009,0.0203,11.582,0.114,11.084,0.123,10.901,0.002762,11.26,0.00307,10.373,0.003811,9.799,0.022,9.457,0.026,9.362,0.021,-0.888,0.079,-0.122,0.026,0.09,0.011,-0.245,0.032,0.579,0.013,1.129,0.044,1.41,0.066,1.5,0.071,1.285,0.051,1.35,0.05
WASP-124,4.44,0.02,-0.02,0.11,6050,100,0,2.104,0.0145,11.785,0.09,11.362,0.103,12.565,0.002783,12.848,0.0029,12.124,0.003805,11.65,0.023,11.419,0.024,11.31,0.023,-0.711,0.049,-0.089,0.014,0.091,0.008,-0.192,0.017,0.528,0.018,1.013,0.037,1.255,0.051,1.331,0.054,1.02,0.02,1.24,0.03
WASP-126,4.28,0.07,0.17,0.08,5800,100,0,4.593,0.01,12.035,0.121,11.087,0.077,11.066,0.00276,11.412,0.002838,10.553,0.003794,9.962,0.021,9.659,0.023,9.598,0.021,-0.852,0.058,-0.111,0.018,0.093,0.008,-0.232,0.022,0.573,0.013,1.108,0.034,1.38,0.050,1.468,0.054,1.27,0.1,0.96,0.1
WASP-127,4.18,0.01,-0.18,0.06,5750,100,0,6.224,0.0175,10.968,0.059,10.224,0.045,10.058,0.00277,10.372,0.002816,9.573,0.003788,9.092,0.029,8.738,0.055,8.641,0.019,-0.837,0.049,-0.14,0.016,0.07,0.006,-0.252,0.019,0.549,0.010,1.105,0.030,1.401,0.045,1.484,0.048,1.333,0.027,1.311,0.029
WASP-128,4.396,0.014,0.01,0.12,5950,50,0,2.405,0.0125,12.336,0.173,11.605,0.115,12.263,0.002766,12.563,0.002861,11.803,0.003822,11.282,0.023,11.011,0.022,10.942,0.021,-0.759,0.028,-0.099,0.010,0.09,0.008,-0.208,0.010,0.543,0.012,1.048,0.019,1.304,0.025,1.384,0.027,1.152,0.021,0.937,0.022
WASP-129,4.53,0.02,0.15,0.09,5900,100,0,3.174,0.0159,12.365,0.146,12.199,0.161,11.804,0.002763,12.133,0.002851,11.309,0.003799,10.725,0.023,10.471,0.022,10.412,0.023,-0.802,0.054,-0.098,0.017,0.097,0.008,-0.213,0.021,0.561,0.014,1.074,0.034,1.332,0.050,1.416,0.053,0.9,0.02,0.93,0.03
WASP-130,4.49,0.02,0.26,0.1,5600,100,0,5.729,0.0187,11.919,0.109,11.18,0.086,10.974,0.002767,11.341,0.002877,10.436,0.003795,9.896,0.022,9.547,0.027,9.461,0.026,-0.991,0.071,-0.149,0.025,0.083,0.012,-0.28,0.029,0.598,0.011,1.18,0.035,1.482,0.055,1.58,0.059,0.96,0.03,0.89,0.03
WASP-131,4.072,0.033,-0.18,0.08,5950,100,0,5.177,0.0365,10.737,0.045,10.132,0.037,9.873,0.002771,10.158,0.002809,9.417,0.003785,8.895,0.027,8.653,0.04,8.573,0.019,-0.732,0.043,-0.11,0.014,0.079,0.006,-0.213,0.017,0.526,0.012,1.038,0.031,1.299,0.046,1.377,0.048,1.526,0.065,1.204,0.057
WASP-132b,4.576,0.036,0.18,0.12,4714,88,0,8.092,0.019,12.493,0.219,11.916,0.188,11.747,0.002765,12.3,0.002897,11.049,0.003802,10.257,0.026,9.745,0.023,9.674,0.024,-1.741,0.105,-0.531,0.061,-0.098,0.029,-0.653,0.055,0.587,0.011,1.447,0.025,1.968,0.050,2.104,0.055,0.753,0.028,0.897,0.03
WASP-132c,4.576,0.036,0.18,0.12,4714,88,0,8.092,0.019,12.493,0.219,11.916,0.188,11.747,0.002765,12.3,0.002897,11.049,0.003802,10.257,0.026,9.745,0.023,9.674,0.024,-1.741,0.103,-0.531,0.061,-0.098,0.029,-0.653,0.055,0.587,0.011,1.447,0.024,1.968,0.050,2.104,0.054,0.753,0.028,0.165,0.009
WASP-133,4.18,0.02,0.29,0.12,5700,100,0,1.807,0.0158,12.137,0.162,11.675,0.156,12.704,0.002765,13.084,0.002842,12.161,0.003803,11.555,0.023,11.238,0.026,11.18,0.023,-0.925,0.062,-0.123,0.021,0.094,0.010,-0.252,0.024,0.592,0.013,1.148,0.033,1.43,0.049,1.525,0.053,1.44,0.05,1.21,0.05
WASP-134,4.352,0.029,0.4,0.07,5700,100,0,5.162,0.0155,11.761,0.103,11.304,0.117,10.884,0.00276,11.248,0.002848,10.354,0.003797,9.804,0.024,9.5,0.023,9.406,0.024,-0.946,0.060,-0.119,0.020,0.1,0.009,-0.251,0.024,0.602,0.010,1.154,0.032,1.43,0.048,1.528,0.051,1.175,0.048,0.988,0.057
WASP-135,4.47,0.03,0.02,0.13,5680,60,0,3.33,0.0134,12.667,0.188,11.013,0.057,12.997,0.002794,13.473,0.003109,12.351,0.003938,11.581,0.019,11.123,0.031,11.037,0.02,-0.909,0.040,-0.143,0.014,0.076,0.009,-0.264,0.015,0.573,0.012,1.14,0.022,1.441,0.031,1.53,0.034,0.96,0.05,1.3,0.09
WASP-136,3.9,0.06,-0.18,0.1,6250,100,0,3.723,0.0252,10.508,0.027,10.027,0.025,9.824,0.002761,10.06,0.002831,9.431,0.003797,9.016,0.03,8.792,0.026,8.805,0.024,-0.596,0.043,-0.073,0.013,0.086,0.007,-0.164,0.016,0.486,0.018,0.935,0.038,1.15,0.055,1.222,0.057,2.21,0.22,1.5,0.15
WASP-137,4.155,0.059,0.08,0.07,6100,140,0,3.469,0.0189,11.623,0.087,10.96,0.079,10.652,0.00276,10.931,0.002824,10.211,0.003791,9.769,0.024,9.52,0.022,9.46,0.019,-0.686,0.066,-0.072,0.018,0.1,0.006,-0.177,0.024,0.529,0.020,1.001,0.047,1.229,0.068,1.307,0.072,1.52,0.11,1.27,0.11
WASP-138,4.25,0.02,-0.09,0.1,6300,100,0,2.442,0.0158,11.777,0.148,12.581,0.447,11.681,0.002772,11.951,0.002934,11.254,0.003821,10.782,0.024,10.54,0.025,10.494,0.019,-0.596,0.037,-0.067,0.011,0.089,0.007,-0.158,0.013,0.486,0.016,0.923,0.033,1.13,0.046,1.2,0.048,1.36,0.05,1.09,0.05
WASP-139,4.59,0.06,0.2,0.09,5300,100,0,4.698,0.0098,11.513,0.066,10.501,0.04,12.264,0.002767,12.702,0.002874,11.667,0.003844,10.982,0.023,10.575,0.023,10.472,0.021,-1.195,0.083,-0.235,0.036,0.043,0.017,-0.373,0.037,0.609,0.007,1.274,0.033,1.639,0.055,1.748,0.060,0.8,0.04,0.8,0.05
WASP-140,4.51,0.04,0.12,0.1,5300,100,0,8.563,0.0189,12.036,0.14,11.202,0.099,10.825,0.002771,11.23,0.002931,10.253,0.003841,9.609,0.026,9.24,0.024,9.165,0.03,-1.18,0.076,-0.235,0.033,0.04,0.016,-0.372,0.034,0.603,0.006,1.269,0.031,1.639,0.052,1.746,0.056,0.87,0.04,1.27,0.06
WASP-141,4.26,0.04,0.29,0.09,6050,120,0,1.956,0.0119,13.471,0.343,12.384,0.2,12.472,0.002766,12.78,0.002837,12.005,0.003806,11.499,0.027,11.261,0.023,11.194,0.026,-0.732,0.063,-0.064,0.019,0.113,0.008,-0.178,0.023,0.555,0.017,1.031,0.041,1.257,0.059,1.34,0.063,1.37,0.07,1.21,0.08
WASP-142,4.13,0.04,0.26,0.12,6060,150,0,1.413,0.0145,11.281,0.051,9.769,0.022,12.744,0.002769,13.059,0.002886,12.269,0.003807,11.726,0.029,11.484,0.033,11.442,0.029,-0.72,0.078,-0.064,0.024,0.112,0.010,-0.176,0.029,0.551,0.022,1.026,0.053,1.251,0.077,1.333,0.081,1.64,0.08,1.53,0.08
WASP-143,4.465,0.018,0.23,0.1,5900,140,0,2.5,0.0181,9.912,0.029,9.417,0.024,12.664,0.002769,12.994,0.002835,12.175,0.003801,11.661,0.022,11.354,0.025,11.318,0.025,-0.809,0.071,-0.092,0.021,0.102,0.008,-0.21,0.026,0.568,0.018,1.078,0.046,1.332,0.067,1.418,0.071,1.013,0.032,1.234,0.042
WASP-144,4.53,0.03,0.18,0.14,4950,150,0,2.994,0.0837,11.643,0.103,10.552,0.061,12.904,0.002791,13.404,0.002954,12.243,0.003857,11.487,0.024,11.008,0.022,10.897,0.021,-1.49,0.154,-0.384,0.084,-0.028,0.040,-0.519,0.079,0.604,0.010,1.379,0.047,1.831,0.089,1.955,0.097,0.81,0.04,0.85,0.05
WASP-145,4.65,0.1,-0.04,0.1,4900,150,0,10.974,0.0282,11.595,0.057,11.282,0.069,11.363,0.002792,11.909,0.002846,10.662,0.003801,9.843,0.029,9.292,0.037,9.194,0.029,-1.496,0.146,-0.413,0.080,-0.047,0.038,-0.542,0.075,0.591,0.010,1.385,0.042,1.862,0.081,1.982,0.089,0.68,0.07,0.9,0.4
WASP-146,4.282,0.029,-0.01,0.16,6100,140,0,2.039,0.019,12.529,0.219,11.915,0.174,12.555,0.002775,12.86,0.002882,12.059,0.003857,11.522,0.027,11.186,0.022,11.137,0.024,-0.683,0.065,-0.081,0.019,0.093,0.011,-0.182,0.022,0.521,0.025,0.996,0.051,1.229,0.070,1.305,0.074,1.232,0.072,1.228,0.076
