ID,log(g),e_,[Fe/H],e_,Teff [K],e_,E(B-V),Plx [mas],e_,mBT [mag],e_,mVT [mag],e_,mG [mag],e_,mBP [mag],e_,mRP [mag],e_,mJ [mag],e_,mH [mag],e_,mK [mag],e_,BC_BT [mag],e_,BC_VT [mag],e_,BC_G [mag],e_,BC_BP [mag],e_,BC_RP [mag],e_,BC_J [mag],e_,BC_H [mag],e_,BC_K [mag],e_,R_star_old [solar ray],e_,R_exo_old [solar ray],e_
WASP-017,4.149,0.014,-0.25,0.09,6550,100,0,2.481,0.0255,11.881,0.081,11.619,0.111,11.383,0.002786,11.639,0.002852,10.966,0.003801,10.509,0.027,10.319,0.024,10.224,0.027,-0.504,0.034,-0.061,0.011,0.076,0.008,-0.139,0.012,0.433,0.020,0.828,0.039,1.006,0.053,1.071,0.055,1.583,0.041,1.932,0.053
WASP-018,4.353,0.017,0.1,0.08,6400,70,0,8.144,0.0116,9.854,0.023,9.357,0.018,9.174,0.002761,9.411,0.002825,8.777,0.003797,8.409,0.018,8.231,0.055,8.131,0.027,-0.571,0.026,-0.044,0.008,0.103,0.007,-0.136,0.009,0.488,0.014,0.9,0.024,1.087,0.032,1.157,0.034,1.255,0.028,1.204,0.028
WASP-019,4.3932,0.0066,0.14,0.11,5460,90,0,3.752,0.009,12.012,0.104,11.319,0.082,12.101,0.002784,12.496,0.003069,11.543,0.003948,10.911,0.026,10.602,0.022,10.481,0.023,-1.064,0.062,-0.187,0.021,0.062,0.010,-0.32,0.024,0.598,0.010,1.219,0.027,1.554,0.042,1.654,0.046,1.018,0.015,1.41,0.021
WASP-020,4.296,0.03,0.07,0.02,5987,20,0,3.47,0.7095,11.312,0.059,10.736,0.054,10.839,0.010082,10.948,0.002933,10.191,0.003791,9.701,0.021,9.417,0.021,9.39,0.024,-0.743,0.010,-0.089,0.003,0.096,0.001,-0.198,0.004,0.543,0.003,1.039,0.007,1.286,0.010,1.366,0.010,1.242,0.045,1.382,0.057
WASP-021,4.277,0.026,-0.22,0.04,5924,55,0,3.909,0.0197,11.978,0.143,11.307,0.119,11.398,0.002769,11.724,0.002894,10.901,0.003803,10.35,0.023,10.085,0.022,9.982,0.017,-0.748,0.027,-0.118,0.007,0.075,0.003,-0.22,0.010,0.527,0.008,1.044,0.020,1.313,0.028,1.39,0.030,1.136,0.051,1.162,0.054
WASP-022,4.338,0.027,0.26,0.03,6153,46,0,3.153,0.0327,12.452,0.19,12.036,0.176,11.585,0.002777,11.874,0.002846,11.13,0.003803,10.634,0.021,10.392,0.023,10.318,0.02,-0.683,0.021,-0.054,0.006,0.114,0.002,-0.162,0.007,0.539,0.007,0.994,0.015,1.207,0.022,1.287,0.023,1.255,0.03,1.199,0.046
WASP-023,4.531,0.029,0.05,0.06,5046,99,0,4.86,0.0086,13.629,0.346,12.641,0.212,12.314,0.002759,12.768,0.002841,11.699,0.003789,10.96,0.023,10.514,0.021,10.45,0.023,-1.375,0.079,-0.335,0.041,-0.009,0.020,-0.471,0.040,0.6,0.004,1.345,0.027,1.778,0.051,1.894,0.055,0.819,0.033,1.067,0.045
WASP-024,4.267,0.022,-0.02,0.1,6107,77,0,3.033,0.0208,12.183,0.174,11.306,0.108,11.389,0.002799,11.675,0.002923,10.944,0.003803,10.457,0.022,10.219,0.026,10.148,0.023,-0.679,0.031,-0.081,0.011,0.093,0.008,-0.182,0.011,0.519,0.014,0.993,0.025,1.225,0.034,1.301,0.036,1.317,0.041,1.303,0.047
WASP-025,4.53,0.015,0.06,0.03,5736,35,0,4.65,0.023,12.345,0.2,11.922,0.193,11.682,0.002769,12.043,0.002849,11.154,0.003802,10.596,0.027,10.268,0.023,10.174,0.021,-0.882,0.018,-0.13,0.006,0.083,0.003,-0.25,0.008,0.571,0.004,1.124,0.011,1.413,0.016,1.501,0.017,0.924,0.018,1.247,0.032
WASP-026,4.26,0.022,-0.02,0.09,6015,55,0,3.957,0.0247,11.687,0.074,11.337,0.089,10.994,0.002765,11.294,0.002843,10.528,0.003805,10.021,0.022,9.775,0.023,9.69,0.023,-0.721,0.025,-0.092,0.009,0.09,0.006,-0.197,0.010,0.532,0.010,1.024,0.018,1.271,0.026,1.349,0.027,1.284,0.036,1.216,0.047
WASP-028,4.37,0.018,-0.2,0.07,6084,45,0,2.922,0.0151,12.776,0.351,10.327,0.052,12.021,0.002765,12.319,0.002909,11.556,0.003797,11.078,0.026,10.762,0.023,10.732,0.024,-0.681,0.019,-0.098,0.007,0.079,0.005,-0.194,0.007,0.508,0.009,0.991,0.016,1.235,0.022,1.308,0.023,1.083,0.025,1.219,0.028
WASP-029,4.54,0.04,0.11,0.14,4875,65,0,11.435,0.0151,12.356,0.134,11.423,0.076,10.895,0.002761,11.454,0.002854,10.193,0.003806,9.353,0.021,8.875,0.019,8.783,0.02,-1.549,0.078,-0.424,0.042,-0.049,0.020,-0.556,0.038,0.596,0.009,1.398,0.021,1.875,0.040,2.0,0.044,0.808,0.044,0.775,0.031
WASP-030,4.25,0.018,0.07,0.08,6190,50,0,2.808,0.0202,12.206,0.194,11.945,0.217,11.35,0.002775,11.621,0.002888,10.924,0.003816,10.508,0.026,10.283,0.023,10.199,0.024,-0.648,0.022,-0.064,0.009,0.101,0.006,-0.164,0.009,0.516,0.010,0.97,0.017,1.186,0.024,1.261,0.025,1.389,0.033,0.951,0.028
WASP-031,4.308,0.02,-0.2,0.09,6175,70,0,2.576,0.0163,12.074,0.18,11.7,0.198,11.809,0.00277,12.069,0.002859,11.389,0.003801,10.912,0.022,10.709,0.022,10.65,0.027,-0.641,0.028,-0.089,0.009,0.08,0.006,-0.181,0.010,0.495,0.012,0.959,0.024,1.19,0.034,1.26,0.036,1.252,0.033,1.549,0.05
WASP-032,4.39,0.03,-0.13,0.1,6100,100,0,3.571,0.0373,12.252,0.18,11.347,0.108,11.409,0.002779,11.692,0.002829,10.963,0.003796,10.503,0.022,10.248,0.028,10.161,0.023,-0.679,0.047,-0.091,0.014,0.084,0.007,-0.189,0.017,0.511,0.016,0.989,0.037,1.228,0.053,1.302,0.055,1.11,0.05,1.18,0.07
WASP-033,4.27,0.01,0.1,0.2,7430,100,0,8.224,0.0327,8.471,0.015,8.176,0.012,8.083,0.002782,8.209,0.00312,7.837,0.003861,7.581,0.021,7.516,0.024,7.468,0.024,-0.301,0.021,0.009,0.020,0.079,0.017,-0.056,0.018,0.312,0.024,0.553,0.034,0.615,0.044,0.676,0.045,1.509,0.03,1.679,0.03
WASP-034,4.5,0.1,0.08,0.04,5704,26,0,7.621,0.0164,11.238,0.089,10.371,0.061,10.205,0.002767,10.547,0.002829,9.701,0.003787,9.172,0.026,8.842,0.042,8.792,0.021,-0.902,0.015,-0.135,0.005,0.082,0.003,-0.257,0.006,0.576,0.004,1.136,0.008,1.429,0.012,1.518,0.013,0.93,0.12,1.22,0.11
